id;title;description;local_image_path;annotated_image_path;manual_person_count;important_figure;notes
124090;John the Baptist being carried to Zacharias ;Did Michelangelo paint some of this work? This panel formed part of a series depicting the life of John the Baptist, with other panels located in New York City and Liverpool, England. Scholars believe that as many as five artists may have participated in creating the artworks and disagree about who painted this panel. Michelangelo Buonarotti, a lifelong friend of Francesco Granacci’s, may have contributed, perhaps in the drapery of the figure in white.;/home/micah/Thesis/Images/Pilot Images/Plain images/12.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/12.jpg;5;;
126768;Holy Family with a Shepherd ;In this image of the Holy Family, Joseph and Mary lean in to admire the Christ Child while a shepherd looks on, leaning on his staff. Before executing this painting, Battista visited Rome, including an extensive study of Raphael's works. Afterward, Battista began a second style of painting, seen in the flexible pose of Christ, the small hands of the adult figures, the high foreheads, and each figure looking sideways or upward. The landscape is impressionistic and grainy as mysterious silvery-blue moonlight accents the thickly wooded landscape. Rich reds, browns, and greens color the picturesque landscapes, typical of Battista's second style. This small painting was originally attributed to Battista Dossi's brother, Dosso. Both brothers served as court painters to the Duke Alfonso I of Ferrara. However, the symmetry and vibrant colors of the painting, as well as the facial styles of the figures, characterize the work of Battista Dossi.;/home/micah/Thesis/Images/Pilot Images/Plain images/13.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/13.jpg;4;;
127572;The Annunciation ;"Although Veronese is best known for his large-scale, pageant-like presentations, here the artist has taken the narrative of the Annunciation (the announcement of the angel Gabriel to the Virgin Mary that she would conceive and bear a son) and compressed the figures close to one another, creating a startling intimacy. According to a tradition established by the medieval writer Saint Bernard, Mary has been reading from the Old Testament prophecy of Isaiah (7:14), ""A young woman is with child and she will bear a son.""";/home/micah/Thesis/Images/Pilot Images/Plain images/14.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/14.jpg;2;;
127746;Baptism of Christ ;Based on a passage from the New Testament book of Matthew, this work depicts Saint John the Baptist performing Christ's baptism in the river Jordan, during which the heavens opened and the Holy Spirit descended in the form of a dove. The powerful modeling of the bodies and luminous color characterize High Renaissance painting in Venice. Because of Tintoretto's pioneering use of rich color, his work was a crucial source for many later artists.;/home/micah/Thesis/Images/Pilot Images/Plain images/15.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/15.jpg;11;;
128389;The Adoration of the Magi ;Little is known about the life and career of Sint Jans. He seems to have been born in Haarlem in Holland in the northern Low Countries where he may have been attached to the Knights of Saint John as a lay brother, and likely produced an altarpiece for that order. (His name seems to derive from his affiliation with the Knights of Saint John.) He died young in his late 20s. Between 12 and 16 paintings are attributed to him. The subjects tend to derive from the New Testament. The original context of this painting is not known.;/home/micah/Thesis/Images/Pilot Images/Plain images/16.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/16.jpg;5;;
129220;The Mass of Saint Gregory;Saint Gregory was a late 6th-century pope and one of the fathers of the early Roman Church. This painting depicts the popular legend in which Gregory once overheard an onlooker express doubts about Christ’s actual presence at the altar during mass. In response, the saint’s immense faith was rewarded by a vision of Christ surrounded by the instruments and symbols of his passion. Saint Gregory, vested in his chasuble, kneels in the center, flanked by priests who share his amazement. This painting was part of an altarpiece commissioned by Erhard Künig, a member of a charitable lay order for a monastery near Strassburg. Künig stands at the far right wearing a Maltese cross. The two wings of the altar, showing respectively Saint John the Evangelist and Saint John the Baptist, are in New York and Washington. Hans Baldung was both a painter and a printmaker and is regarded as one of the most gifted students of Albrecht Dürer.;/home/micah/Thesis/Images/Pilot Images/Plain images/17.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/17.jpg;12;;
130377;The Baptism of Christ;Painted in minute detail, Cranach’s majestic scene includes elements characteristic of landscapes in 16th-century German art: verdant forest, hilltop city, and distant mountains. A close associate of Protestant reformer Martin Luther, Cranach adapted Christian imagery to reflect Luther’s belief that religious art must narrate scripture. The Gospels describe Christ’s baptism with the heavens opening, a dove descending, and a voice saying, “Here is my beloved son, with whom I am well pleased,” which Cranach painted in Latin directly onto the clouds.;/home/micah/Thesis/Images/Pilot Images/Plain images/18.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/18.jpg;3;;
130980;The Annunciation and The Nativity ;"These paintings are believed to be the remaining components of a six-panel altarpiece. The large central panel is now preserved in Barcelona (Museu National d’Art de Catalunya). Ferrer collaborated with the painter Pere Garcia de Benavarri on this commission. Spanish works like these often feature elaborate treatment of the gold background, evident here in the exuberant raised decoration (called pastiglia) in the skies and the haloes, as well as other details. Here the Archangel Gabriel proclaims the Virgin’s destiny as the mother of Christ. The setting is an ordinary house, but simple objects have symbolic meaning. The lilies represent the Virgin’s purity; the covered jar and water carafe symbolize inviolability; the pomegranate symbolizes Christ’s resurrection, while the apple alludes to humankind’s fall from grace. The two books, closed and open, refer respectively to the Old and New Testaments: one foretelling and the other fulfilling the promise of the messiah. Both The Annunciation and The Nativity were components of a large altarpiece probably dedicated to the Virgin. Spanish works like these often feature elaborate treatment of the gold background, evident here in the exuberant raised decoration (called pastiglia) in the skies and haloes, as well as other details such as the vase of lilies in the Annunciation. The Annunciation The archangel Gabriel, gesturing toward God in a window above, proclaims the Virgin's destiny as the mother of Christ. Gabriel holds a scroll with the words from the New Testament (in Latin) ""Hail Mary, full of grace, the Lord is with you."" The angels in the sky hold another scroll proclaiming: ""Glory to God in the highest, and peace to good people on earth"". The simple objects surrounding the Virgin appear to be the furnishings of an ordinary house, but they carry symbolic meaning. The lilies represent the Virgin's purity; the covered jar and the water carafe symbolize inviolability. The towel and basin hint at ritual cleansing during Mass. The blown out candle points to the arrival of divine light in the world. The pomegranate symbolizes Christ's resurrection, while the apple alludes to humankind's fall from grace. The two books, closed and open, refer respectively to the Old and New testaments: one foretelling and the other fulfilling the promise of the Messiah.";/home/micah/Thesis/Images/Pilot Images/Plain images/19.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/19.jpg;10;;
134620;Adoration of the Magi ;Is this painting by Titian?<br><br>Titian, the celebrated and prolific 16th-century Venetian artist, and his large workshop painted several versions of this subject. Further research is needed to compare this painting with versions in Milan and Madrid to determine how much of each is by Titian himself, as opposed to being the work of his studio assistants. The Prado Museum in Madrid is often considered to have a copy made from Cleveland’s painting, which is superior in execution but not condition. Despite the damage caused by overcleaning, there are many fine passages, including the bowing white horse, his groom in shadow, and the cradled Christ child.;/home/micah/Thesis/Images/Pilot Images/Plain images/20.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/20.jpg;15;;
135311;The Nativity;The nativity was one of the most frequently depicted subjects in western art. The event marks the entrance of Christ into the world and the fulfillment of Old Testament prophecy. In the distance an angel announces the birth of Christ to the shepherds tending their flocks. One shepherd is already at the stable adoring the Christ child. In the background, the cityscape represents Jerusalem, where Christ would be crucified, represented here as a northern medieval city. Only Matthew and Luke describe Christ’s nativity in the Gospels, which led medieval writers and artists to amplify the event. Some scholars have suggested that the head of Joseph is a donor portrait. Gerard David was born in Oudewater, now located in Utrecht. He spent his mature career in Bruges, where he was a member of the painters’ guild. Upon the death of Hans Memling in 1494, David became Bruges’s leading painter of devotional panels. He was also a manuscript illuminator.;/home/micah/Thesis/Images/Pilot Images/Plain images/21.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/21.jpg;9;;
148301;The Birth and Naming of John the Baptist;Typical of Flemish art of the period, this scene suggests a comfortable home of the late 1400s in the Netherlands to frame the story of a biblical birth. Elizabeth, mother of Saint John the Baptist, rests after her labor, while her cousin, the Virgin Mary, presents the newborn to his father, Zacharias. Having lost his ability to speak when he doubted an angel’s prophecy of the child’s birth, Zacharias writes down his son’s name. At this moment, his speech is restored. This painting was once part of an altarpiece commissioned by Queen Isabella I of Castile, known as the Catholic (1451–1504), for a monastery near Burgos.;/home/micah/Thesis/Images/Pilot Images/Plain images/22.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/22.jpg;5;;
370119;Holy Family with the Mystic Marriage of Saint Catherine ;The marriage shown in this painting is called “mystic” because it was a purely symbolic. The infant Jesus places a ring on the finger of Catherine of Alexandria, a fourth-century saint who had a vision of dedicating herself to God and remaining a virgin instead of marrying. Note the otherworldly quality of the women and children’s elegant faces, compared to the naturalism of elderly Saint Joseph, who may be a likeness of someone the artist knew.;/home/micah/Thesis/Images/Pilot Images/Plain images/23.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/23.jpg;5;;
97159;Death of the Virgin ;This panel reveals a long history of changes. The initial work was painted on a single slab of wood, with strips left unpainted along the top and bottom. At an unknown time, the panel was probably cut down on the right and left sides, and the two blank strips at the top and bottom were filled in to enlarge the picture, most likely to fit its current, elaborately carved, 18th-century frame. Although these additions must have been initially more convincing, they were painted to match the yellowed and darkened original image, and thus no longer match the original paint. The flat and mismatched handling of the draperies in the lower portion also signal the intervention of a subsequent hand. The painting may have been part of an altarpiece as the predella, a long, horizontal painting along the base. The bottom of this panel exhibits signs of damage from fire and smoke, perhaps from the candles that could have been placed in front of it.;/home/micah/Thesis/Images/Pilot Images/Plain images/24.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/24.jpg;19;;
106094;"Virgin and Child Adored by Saints Mary Magdalene and Nicolas of Bari;  Christ Crucified with the Virgin and Saint John the Evangelist ";The artist covered the sides and reverse of this panel with a thin layer of gesso (a type of plaster), allowing the texture of the rough wood to remain visible. He then painted it to resemble porphyry, a beautiful and valuable stone.;/home/micah/Thesis/Images/Pilot Images/Plain images/25.jpg;/home/micah/Thesis/Images/Pilot Images/Hand anotated images/25.jpg;7;;
